round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,peak_memory_mb,status,pi_temp,pi_throttled
1,train,mnist,tinycnn_mnist,iid,32,8,client0,0.12485043221188041,,,,15.421497800038196,,,,40016.0,643.7578125,ok,,
1,train,mnist,tinycnn_mnist,iid,32,8,client1,0.13496438859774676,,,,15.96666469995398,,,,39984.0,643.03515625,ok,,
1,eval,mnist,tinycnn_mnist,iid,32,8,server,,0.2964177651405335,0.928,0.9220254535379606,,0.2449114000191912,,,,,,,
2,train,mnist,tinycnn_mnist,iid,32,8,client0,0.028482142515749077,,,,15.937490400043316,,,,40016.0,648.7265625,ok,,
2,train,mnist,tinycnn_mnist,iid,32,8,client1,0.03471137349056721,,,,16.367869699955918,,,,39984.0,645.74609375,ok,,
2,eval,mnist,tinycnn_mnist,iid,32,8,server,,0.0739682963181549,0.978,0.9768359597109267,,0.23888219997752458,,,,,,,
3,train,mnist,tinycnn_mnist,iid,32,8,client0,0.01560712603464135,,,,15.685558800003491,,,,40016.0,650.32421875,ok,,
3,train,mnist,tinycnn_mnist,iid,32,8,client1,0.0170293860971899,,,,15.554368200013414,,,,39984.0,647.23828125,ok,,
3,eval,mnist,tinycnn_mnist,iid,32,8,server,,0.08762109402869828,0.978,0.977014735632715,,0.2773938999744132,,,,,,,
4,train,mnist,tinycnn_mnist,iid,32,8,client0,0.004639490122052134,,,,15.427364200004376,,,,40016.0,652.19140625,ok,,
4,train,mnist,tinycnn_mnist,iid,32,8,client1,0.0060308089326132795,,,,15.347463399986736,,,,39984.0,649.12890625,ok,,
4,eval,mnist,tinycnn_mnist,iid,32,8,server,,0.08246809623710215,0.983,0.9822439570111203,,0.2731961999088526,,,,,,,
5,train,mnist,tinycnn_mnist,iid,32,8,client0,0.002540433834179783,,,,15.443588500027545,,,,40016.0,653.59765625,ok,,
5,train,mnist,tinycnn_mnist,iid,32,8,client1,0.0018551650564692147,,,,16.41688559995964,,,,39984.0,650.8046875,ok,,
5,eval,mnist,tinycnn_mnist,iid,32,8,server,,0.08623428184815475,0.98,0.9792765583671633,,0.25206949992571026,,,,,,,
6,train,mnist,tinycnn_mnist,iid,32,8,client0,0.00012341208444727967,,,,15.4727040999569,,,,40016.0,655.2109375,ok,,
6,train,mnist,tinycnn_mnist,iid,32,8,client1,0.00016813021713151362,,,,16.214060300029814,,,,39984.0,652.140625,ok,,
6,eval,mnist,tinycnn_mnist,iid,32,8,server,,0.08708486393100509,0.979,0.9782531174370993,,0.2970885999966413,,,,,,,
7,train,mnist,tinycnn_mnist,iid,32,8,client0,4.860797148051762e-05,,,,16.119418899994344,,,,40016.0,656.5390625,ok,,
7,train,mnist,tinycnn_mnist,iid,32,8,client1,6.103988588919295e-05,,,,16.472100600018166,,,,39984.0,652.0234375,ok,,
7,eval,mnist,tinycnn_mnist,iid,32,8,server,,0.08797951683926737,0.98,0.9792646771010036,,0.26896639994811267,,,,,,,
8,train,mnist,tinycnn_mnist,iid,32,8,client0,3.13471690061793e-05,,,,16.012069300049916,,,,40016.0,656.35546875,ok,,
8,train,mnist,tinycnn_mnist,iid,32,8,client1,4.083884087150419e-05,,,,16.213268600055017,,,,39984.0,653.578125,ok,,
8,eval,mnist,tinycnn_mnist,iid,32,8,server,,0.08908307815775104,0.981,0.9802881180310676,,0.2789714999962598,,,,,,,
9,train,mnist,tinycnn_mnist,iid,32,8,client0,2.4491372346793765e-05,,,,16.69058729999233,,,,40016.0,657.7421875,ok,,
9,train,mnist,tinycnn_mnist,iid,32,8,client1,3.161102252004061e-05,,,,15.619109899969772,,,,39984.0,654.65234375,ok,,
9,eval,mnist,tinycnn_mnist,iid,32,8,server,,0.08969962617433998,0.982,0.981286536568305,,0.24444069992750883,,,,,,,
10,train,mnist,tinycnn_mnist,iid,32,8,client0,1.9699760551568405e-05,,,,14.651425300049596,,,,40016.0,659.3203125,ok,,
10,train,mnist,tinycnn_mnist,iid,32,8,client1,2.4879433556247497e-05,,,,22.720628699986264,,,,39984.0,656.37109375,ok,,
10,eval,mnist,tinycnn_mnist,iid,32,8,server,,0.09046030636063301,0.981,0.9802881180310676,,0.30007200001273304,,,,,,,
11,train,mnist,tinycnn_mnist,iid,32,8,client0,1.7965288603399112e-05,,,,50.52249970007688,,,,40016.0,660.6875,ok,,
11,train,mnist,tinycnn_mnist,iid,32,8,client1,2.0070367782147513e-05,,,,17.146192600019276,,,,39984.0,656.9453125,ok,,
11,eval,mnist,tinycnn_mnist,iid,32,8,server,,0.0908458992876474,0.982,0.981286536568305,,0.27527720003854483,,,,,,,
12,train,mnist,tinycnn_mnist,iid,32,8,client0,1.479166093512191e-05,,,,17.295175199978985,,,,40016.0,662.69921875,ok,,
12,train,mnist,tinycnn_mnist,iid,32,8,client1,1.838038775523744e-05,,,,16.38960820005741,,,,39984.0,658.5703125,ok,,
12,eval,mnist,tinycnn_mnist,iid,32,8,server,,0.09055313256902423,0.981,0.9802881180310676,,0.2730270999018103,,,,,,,
13,train,mnist,tinycnn_mnist,iid,32,8,client0,1.3145539488479238e-05,,,,16.295261399936862,,,,40016.0,664.37109375,ok,,
13,train,mnist,tinycnn_mnist,iid,32,8,client1,1.4985821733828458e-05,,,,15.809072899981402,,,,39984.0,660.09765625,ok,,
13,eval,mnist,tinycnn_mnist,iid,32,8,server,,0.09198401943037231,0.981,0.9802881180310676,,0.26137459999881685,,,,,,,
14,train,mnist,tinycnn_mnist,iid,32,8,client0,1.151146274302333e-05,,,,16.709180599893443,,,,40016.0,666.08984375,ok,,
14,train,mnist,tinycnn_mnist,iid,32,8,client1,1.3483241278851138e-05,,,,16.489943099906668,,,,39984.0,662.203125,ok,,
14,eval,mnist,tinycnn_mnist,iid,32,8,server,,0.091978579104907,0.981,0.9802881180310676,,0.3106300999643281,,,,,,,
15,train,mnist,tinycnn_mnist,iid,32,8,client0,1.1031830686904098e-05,,,,16.121795999933966,,,,40016.0,665.83984375,ok,,
15,train,mnist,tinycnn_mnist,iid,32,8,client1,1.323319910776283e-05,,,,43.498973600100726,,,,39984.0,662.484375,ok,,
